**** Updated: May 27, 2014 **** 
                                    
PERSONAL PROPERTY CODES             
                                    
State Class                         
------          -----------------   
Code            Description         
------          -----------------   
G1             	Oil and Mineral Gas Reserves                                
G2             	Real Property Other Mineral Reserves                        
J1             	Personal Utilities Water System                             
J2             	Gas Companies                                               
J3             	Electric Companies                                          
J4             	Telephone Companies                                         
J5             	Railroads                                                   
J6             	Pipelines                                                   
J7             	Major Cable Television Systems                              
L1             	Tangible, Commercial                                        
L2             	Tangible, Industrial                                        
M3             	Tangible, Mobile Homes                                      
S1             	Dealer Inventory                                            
U0             	Unknown                                                     
                                     
                                     
Personal Property                    
------          --------------------------                                     ------   
Code   	        Description                                                    Class    
------          --------------------------                                     ------   
A              	Business Personal Property                                  	L1        
0010V     	POLLUTION CONTROL - INDUSTRIAL PERSONAL                     	Exception                                         
0010W     	POLLUTION CONTROL - ELECTRICAL TRANSMISSION                 	Exception                                         
0139      	GRASS FARMS                                                 	Agriculture, Forestry, Fishing                    
0181      	NURSERY STOCK, GROWING OF                                   	Agriculture, Forestry, Fishing                    
0191      	FARMS - GENERAL                                             	Agriculture, Forestry, Fishing                    
0191E     	FARM/RANCHING IMPLEMENTS EXEMPT                             	Agriculture, Forestry, Fishing                    
0259A     	POULTRY & EGGS NEC                                          	Agriculture, Forestry, Fishing                    
0742      	VETERINARIANS-PETS                                          	Agriculture, Forestry, Fishing                    
0752      	ANIMAL SPECIALTY SVC NEC                                    	Agriculture, Forestry, Fishing                    
0752A     	PET GROOMING                                                	Agriculture, Forestry, Fishing                    
0752B     	KENNELS                                                     	Agriculture, Forestry, Fishing                    
0752C     	ANIMAL BREEDERS                                             	Agriculture, Forestry, Fishing                    
0782      	LAWN & GARDEN SERVICES                                      	Agriculture, Forestry, Fishing                    
0831      	FOREST PRODUCTS                                             	Agriculture, Forestry, Fishing                    
0912      	VESSELS - FISHING BOATS FINFISH                             	Agriculture, Forestry, Fishing                    
0913      	VESSELS - FISHING BOATS SHELLFISH                           	Agriculture, Forestry, Fishing                    
0919      	MISCELLANEOUS MARINE PRODUCTS                               	Agriculture, Forestry, Fishing                    
1311      	CRUDE PETR & NAT GAS                                        	Mining                                            
1381      	DRILLING - OIL & GAS WELLS                                  	Mining                                            
1381A     	DRILLING - OIL & GAS WELLS MARINE                           	Mining                                            
1381B     	DRILLING OIL & GAS WELLS                                    	Mining                                            
1382      	OIL & GAS FIELD EXPLORATION SERVICE                         	Mining                                            
1382A     	OIL & GAS EXPLORATION SVC.                                  	Mining                                            
1389      	OIL & GAS FIELD SER, NEC                                    	Mining                                            
1389A     	OIL & GAS FIELD SVC. NEC                                    	Mining                                            
1479      	CHEM, FERT, MIN AND SALT MINING, NEC                        	Mining                                            
1522      	CONSTRUCTION - RESIDENTIAL                                  	Construction                                      
1541      	GEN CONTRACTORS - INDUST BUILDINGS & WAREHOUSES             	Construction                                      
1542      	GEN CONTRACTORS - EXCEPT INDUSTRIAL & RESIDENTIAL           	Construction                                      
1542A     	CONSTRUCTION - COMMERCIAL                                   	Construction                                      
1611A     	CONSTRUCTION - HWY & ST                                     	Construction                                      
1611B     	CONSTRUCTION-HWY & STREET SITE ONLY                         	Construction                                      
1622A     	CONSTRUCTION - BRDG-ELEV                                    	Construction                                      
1623      	WATER, SEWER, PIPELINE, CONSTRUCTION & REPAIR               	Construction                                      
1623A     	CONSTRUCTION - UTIL LINES                                   	Construction                                      
1629      	CONSTRUCTION - HEAVY NEC                                    	Construction                                      
1711      	CONTRACTOR PLUMBING                                         	Construction                                      
1711A     	CONTRACTOR MECHANICAL                                       	Construction                                      
1721      	CONTRACTOR PAINT & PAPER HANGING                            	Construction                                      
1731      	CONTRACTOR ELECTRICAL                                       	Construction                                      
1731A     	TELECOMMUNICATION SERVICE                                   	Construction                                      
1741      	CONTRACTOR MASONRY                                          	Construction                                      
1742      	CONTRACTOR DRYWALL-INSULA                                   	Construction                                      
1751      	CONTRACTOR CARPENTRY WORK                                   	Construction                                      
1752      	CONTRACTOR FLOOR LAYING                                     	Construction                                      
1761      	CONTRACTOR ROOFING-SIDING SHEET METAL                       	Construction                                      
1771      	CONTRACTOR CONCRETE WORK                                    	Construction                                      
1781      	CONTRACTOR WATER WELL                                       	Construction                                      
1791      	CONTRACTOR STEEL ERECTION                                   	Construction                                      
1793      	CONTRACTOR GLASS AND GLAZE                                  	Construction                                      
1799      	SPECIAL TRADE CONTRACTORS                                   	Construction                                      
1799A     	CONTRACTOR SPECIAL TRADE                                    	Construction                                      
1799B     	CONTRACTOR FENCE COMPANY                                    	Construction                                      
1799D     	CONTRACTOR SWIMMING POOL                                    	Construction                                      
2011      	MEAT PACKING NEC                                            	Manufacturing                                     
2013      	SAUSAGES & OTHER PREPARED MEAT PRODUCTS                     	Manufacturing                                     
2022      	NATURAL, PROCESSED AND IMITATION CHEESE                     	Manufacturing                                     
2024      	ICE CREAM & FROZEN DESSERT                                  	Manufacturing                                     
2026      	FLUID MILK PROCESSING - INCLUDING YOGURT                    	Manufacturing                                     
2032      	CANNED SPECIALTIES                                          	Manufacturing                                     
2033      	CANNED FRUITS, VEG, PRESERVES, JAMS & JELLIES               	Manufacturing                                     
2035      	PICKLED FRUITS & VEGETABLE SAUCES & SEASONINGS              	Manufacturing                                     
2038      	FROZEN SPECIALTIES, NEC INDUSTRIAL                          	Manufacturing                                     
2038A     	FROZEN SPECIALTIES NEC                                      	Manufacturing                                     
2041      	FLOUR AND OTHER GRAIN MILLPRODUCTS                          	Manufacturing                                     
2044      	RICE MILLING                                                	Manufacturing                                     
2048      	ANIMAL FEED MFG, EXCEPT FOR DOGS & CATS                     	Manufacturing                                     
2051      	BREAD AND OTHER BAKERY PRODUCTS                             	Manufacturing                                     
2051A     	BREAD & OTHER BAKERY PROD EXCEPT COOKIES & CRACKERS         	Manufacturing                                     
2052      	COOKIES AND CRACKERS                                        	Manufacturing                                     
2053      	FROZEN BAKERY PRODUCTS EXCEPT BREAD                         	Manufacturing                                     
2064      	CANDY MFG                                                   	Manufacturing                                     
2077      	ANIMAL & MARINE FATS AND OILS, INCLUDING RENDERING          	Manufacturing                                     
2079      	SHORTENING, TABLE OILS, MARGARINE & OTHER EDIBLE            	Manufacturing                                     
2082      	MALT BEVERAGE MFG INCLUDING BEER                            	Manufacturing                                     
2086      	SOFT DRINK MFG, BOTTLED & CANNED CARBONATED BEV             	Manufacturing                                     
2095      	ROASTED COFFEE MFG INCLUDING INSTANT                        	Manufacturing                                     
2096      	POTATO & CORN CHIPS AND SIMILAR SNACKS                      	Manufacturing                                     
2097      	ICE - MANUFACTURED                                          	Manufacturing                                     
2098      	MACARONI, SPAGHETTI, VERMICELLI & NOODLES                   	Manufacturing                                     
2099      	FOOD PREPARATIONS NEC                                       	Manufacturing                                     
2099A     	FOOD PRODUCTS NEC                                           	Manufacturing                                     
2299      	TEXTILE GOODS,  NEC INCLUDE BURLAP BAGS                     	Manufacturing                                     
2299A     	TEXTILE GOODS,  NEC                                         	Manufacturing                                     
2329      	CLOTHING MANUFACTURER                                       	Manufacturing                                     
2353      	HATS, CAPS & MILLINERY                                      	Manufacturing                                     
2396A     	SILK SCREENING                                              	Manufacturing                                     
2399      	FABRICATED TEXTILE PRODUCT                                  	Manufacturing                                     
2431      	MILLWORK, VENEER, PLYWOOD, & STRUCTURAL WOOD MEMBER         	Manufacturing                                     
2434      	WOOD KITCHEN CABINET MANUFACTURING                          	Manufacturing                                     
2434A     	CABINET SHOP - MANUFACTURING                                	Manufacturing                                     
2439      	STRUCTURAL WOOD MEMBERS, NEC                                	Manufacturing                                     
2448      	WOOD PALLETS AND SKIDS                                      	Manufacturing                                     
2452      	PREFAB WOOD BUILDINGS AND COMPONENTS                        	Manufacturing                                     
2491      	WOOD PRESERVING                                             	Manufacturing                                     
2499      	WOOD PRODUCT MANUFACTURING, NEC                             	Manufacturing                                     
2499A     	WOOD PRODUCTS NEC                                           	Manufacturing                                     
2511      	WOOD HOUSEHOLD FURNITURE, EXCEPT UPHOLSTERED                	Manufacturing                                     
2515      	MATTRESSES, FOUNDATIONS & CONVERTIBLE BEDS                  	Manufacturing                                     
2519      	HOUSEHOLD FURNITURE MANUFACTURING                           	Manufacturing                                     
2521      	WOOD OFFICE FURNITURE                                       	Manufacturing                                     
2522      	OFFICE FURNITURE                                            	Manufacturing                                     
2541      	WOOD OFFICE & STORE FIXT                                    	Manufacturing                                     
2591      	BLINDS SHADES DRAPES HDWE                                   	Manufacturing                                     
2591A     	DRAPERY HARDWARE, WINDOW BLINDS AND SHADES                  	Manufacturing                                     
2599      	FURNITURE & FIXTURES NEC                                    	Manufacturing                                     
2599A     	FURNITURE & FIXTURES, NEC                                   	Manufacturing                                     
2611      	PULP MILLS                                                  	Manufacturing                                     
2621A     	PAPER MILLS                                                 	Manufacturing                                     
2653      	CORRUGATED & SOLID FIBER BOXES                              	Manufacturing                                     
2653A     	BOXES, CORRUGATED & FIBER                                   	Manufacturing                                     
2655      	FIBER CANS, TUBES, DRUMS AND SIMILAR PRODUCTS               	Manufacturing                                     
2671      	PACKAGING PAPER & PLASTIC FILM-COATED & LAMINATED           	Manufacturing                                     
2672      	PAPER-COATED & LAMINATED, EXCEPT FOR PACKAGING              	Manufacturing                                     
2676      	SANITARY PAPER PRODUCTS                                     	Manufacturing                                     
2677      	ENVELOPE MFG, NOT STATIONERY                                	Manufacturing                                     
2678      	STATIONERY, TABLETS & RELATED PRODUCTS                      	Manufacturing                                     
2679A     	PAPER PRODUCTS                                              	Manufacturing                                     
2711      	NEWSPAPERS: PUBLISHING OR PUBLISHING AND PRINTING           	Manufacturing                                     
2711A     	PUBLISHING - NEWSPAPER COMMUNITY                            	Manufacturing                                     
2721A     	PUBLISHING - PERIODICALS                                    	Manufacturing                                     
2732      	PRINTING - BOOK                                             	Manufacturing                                     
2741      	PUBLISHING, MISCELLANEOUS                                   	Manufacturing                                     
2752      	COMMERCIAL PRINTING, LITHOGRAPHIC                           	Manufacturing                                     
2754      	COMMERCIAL PRINTING, GRAVURE                                	Manufacturing                                     
2759      	COMMERCIAL PRINTING,  NEC                                   	Manufacturing                                     
2759A     	PRINTING COMPANIES                                          	Manufacturing                                     
2761      	MANIFOLD BUSINESS FORMS                                     	Manufacturing                                     
2789      	BOOKBINDING AND RELATED WORK                                	Manufacturing                                     
2789A     	BOOKBINDING & RELATED WORK                                  	Manufacturing                                     
2791      	TYPESETTING                                                 	Manufacturing                                     
2796      	PRINTING PLATEMAKING AND RELATED SERVICES                   	Manufacturing                                     
2812      	ALKALIES & CHLORINE MFG                                     	Manufacturing                                     
2813      	INDUSTRIAL GAS MFG                                          	Manufacturing                                     
2813A     	GAS CYLINDERS AND TANKS                                     	Manufacturing                                     
2816      	INORGANIC PIGMENT MANUFACTURING                             	Manufacturing                                     
2819      	INDUS INORGANIC CHEM, NEC                                   	Manufacturing                                     
2819A     	CHEMICALS - INDUSTRIAL NEC                                  	Manufacturing                                     
2821      	PLASTICS, SYNTHETIC RESINS & NONVULCAN ELASTOMERS           	Manufacturing                                     
2821A     	PLASTICS MATERIALS, RESINS                                  	Manufacturing                                     
2822      	SYNTHETIC RUBBER MANUF (VULCANIZABLE ELASTOMERS)            	Manufacturing                                     
2833      	MEDICINAL CHEMICALS AND BOTANICAL PRODUCTS                  	Manufacturing                                     
2834      	DRUG MANUFACTURING                                          	Manufacturing                                     
2834A     	PHARMACEUTICAL MANUFACTURING                                	Manufacturing                                     
2841      	SOAP & DETERGENT MANUF EXCEPT SPECIALTY CLEANERS            	Manufacturing                                     
2842      	SPECIALTY CLEANING, POLISH & SANITATION PREPARATIONS        	Manufacturing                                     
2844      	COSMETICS & TOILET PREPARATIONS                             	Manufacturing                                     
2851      	PAINTS, VARNISHES, LACQUER ENAMELS & ALLIED PRODUCTS        	Manufacturing                                     
2851A     	PAINTS AND ALLIED PRODUCTS                                  	Manufacturing                                     
2861      	GUM & WOOD CHEMICALS (DISTILLATION PRODUCTS)                	Manufacturing                                     
2865      	CYCLIC ORGANIC CRUDES & INTERMED, DYES & PIGMENTS           	Manufacturing                                     
2869      	INDUSTRIAL INORGANIC CHEMICALS, NEC                         	Manufacturing                                     
2869A     	CHEMICALS AND PESTICIDES                                    	Manufacturing                                     
2873      	NITROGENOUS FERTILIZER MANUFACTURING                        	Manufacturing                                     
2874      	PHOSPHATIC FERTILIZER MANUFACTURING                         	Manufacturing                                     
2875      	FERTILIZERS, MIXING ONLY                                    	Manufacturing                                     
2891      	ADHESIVES & SEALANTS MANUFACTURING                          	Manufacturing                                     
2893      	PRINTING INK MANUFACTURING                                  	Manufacturing                                     
2895      	CARBON BLACK MANUFACTURING                                  	Manufacturing                                     
2899      	CHEMICALS & CHEMICAL PREPARATIONS, NEC                      	Manufacturing                                     
2899A     	CHEMICAL PREPARATIONS NEC                                   	Manufacturing                                     
2911      	PETROLEUM REFINING                                          	Manufacturing                                     
2951      	ASPHALT PAVING MIXTURES & BLOCKS                            	Manufacturing                                     
2951A     	ASPHALT PAVING MIXTURES                                     	Manufacturing                                     
2952      	ASPHALT FELTS & COATINGS MANUFACTURING                      	Manufacturing                                     
2952A     	ASPHALT FELT & COATINGS                                     	Manufacturing                                     
2992      	LUBRICATING OILS & GREASES                                  	Manufacturing                                     
2999      	PETROLEUM AND COAL NEC                                      	Manufacturing                                     
2999A     	PRODUCTS OF PETROLEUM AND COAL, NEC                         	Manufacturing                                     
3053      	GASKETS PACKING & SEALING                                   	Manufacturing                                     
3053A     	GASKET MANUFACTURING                                        	Manufacturing                                     
3069      	FABRICATED RUBBER PRODUCTS, NEC                             	Manufacturing                                     
3069A     	RUBBER PRODUCTS                                             	Manufacturing                                     
3081      	UNSUPPORTED PLASTICS FILM AND SHEET MANUFACTURING           	Manufacturing                                     
3082      	UNSUPPORTED PLASTICS PROFILE SHAPES MANUF                   	Manufacturing                                     
3083      	LAMINATED PLASTIC PLATE, SHEET & PROFILE MANUF              	Manufacturing                                     
3084      	PLASTIC PIPE MANUFACTURING                                  	Manufacturing                                     
3085      	PLASTIC BOTTLE MANUFACTURING                                	Manufacturing                                     
3087      	PLASTIC RESIN COMPOUNDING                                   	Manufacturing                                     
3088      	PLASTIC PLUMBING FIXTURE MANUFACTURING                      	Manufacturing                                     
3089      	PLASTIC PRODUCTS, NEC                                       	Manufacturing                                     
3089A     	PLASTIC PRODUCTS NEC                                        	Manufacturing                                     
3199      	LEATHER GOODS, NEC                                          	Manufacturing                                     
3211      	FLAT GLASS MANUFACTURING                                    	Manufacturing                                     
3221      	GLASS CONTAINER MANUFACTURING                               	Manufacturing                                     
3229      	PRESSED & BLOWN GLASSWARE, NEC                              	Manufacturing                                     
3229A     	GLASS PRESSED & BLOWN, NEC                                  	Manufacturing                                     
3231      	GLASS PRODUCTS, MADE OF PURCHASED GLASS                     	Manufacturing                                     
3231A     	GLASS PRODUCTS MADE OF PURCHASED GLASS                      	Manufacturing                                     
3241      	HYDRAULIC CEMENT MANUFACTURING                              	Manufacturing                                     
3241A     	CEMENT, HYDRAULIC                                           	Manufacturing                                     
3251      	BRICK AND STRUCTURAL CLAY TILE MANUFACTURING                	Manufacturing                                     
3255      	CLAY REFRACTORIES                                           	Manufacturing                                     
3259      	CLAY PRODUCTS, STRUCTURAL                                   	Manufacturing                                     
3259A     	STRUCTURAL CLAY PRODUCTS NEC, INC CLAY SEWER PIPE           	Manufacturing                                     
3269      	POTTERY PRODUCTS, NEC                                       	Manufacturing                                     
3269A     	POTTERY PRODUCTS, NEC                                       	Manufacturing                                     
3271      	CONCRETE BLOCK AND BRICK                                    	Manufacturing                                     
3271A     	CONCRETE BLOCK & BRICK MANUFACTURING                        	Manufacturing                                     
3272      	CONCRETE PRODUCTS MANUF EXCEPT BRICK AND BLOCK              	Manufacturing                                     
3272A     	CONCRETE PRODUCTS, NEC                                      	Manufacturing                                     
3273      	READI-MIX CONCRETE BATCH PLANTS                             	Manufacturing                                     
3273A     	CONCRETE READY MIX                                          	Manufacturing                                     
3275      	GYPSUM PRODUCTS, INCLUDING WALLBOARD AND PLASTER            	Manufacturing                                     
3281      	CUT STONE AND STONE PRODUC                                  	Manufacturing                                     
3281A     	CUT STONE & STONE PRODUCTS                                  	Manufacturing                                     
3291      	ABRASIVE PRODUCTS MANUFACTURING                             	Manufacturing                                     
3292A     	VINYL TILE MANUFACTURING                                    	Manufacturing                                     
3295      	BARITE MANUFACTURING                                        	Manufacturing                                     
3296      	MINERAL WOOL MANUFACTURING                                  	Manufacturing                                     
3299      	NONMETALLIC MINERAL PRODUCTS, NEC                           	Manufacturing                                     
3312      	STEEL WORKS, LAST FURNACES, ROLLING & FINISHING MILLS       	Manufacturing                                     
3313      	ELECTROMETALLURGICAL PRODUCTS, EXCEPT STEEL                 	Manufacturing                                     
3315      	STEEL WIREDRAWING AND STEEL NAILS & SPIKES MFG              	Manufacturing                                     
3317      	STEEL PIPE & TUBE MANUFACTURING                             	Manufacturing                                     
3322      	MALLEABLE IRON FOUNDRIES                                    	Manufacturing                                     
3324      	STEEL INVESTMENT FOUNDRIES                                  	Manufacturing                                     
3325      	STEEL FOUNDRIES, NEC                                        	Manufacturing                                     
3325A     	STEEL MANUFACTURING, NEC                                    	Manufacturing                                     
3339      	METAL PROCESSING - MANUFACTURING                            	Manufacturing                                     
3341      	SECONDARY SMELTING & NON- FERROUS METAL REFINING            	Manufacturing                                     
3351      	ROLLING, DRAWING AND EXTRUDING OF COPPER                    	Manufacturing                                     
3356      	NONFERR METAL ROLL, ETC EXCLUDE COPPER & ALUMINUM           	Manufacturing                                     
3357      	DRAWING AND INSULATING OF NONFERROUS WIRE                   	Manufacturing                                     
3363      	ALUMINUM DIE CASTINGS                                       	Manufacturing                                     
3364      	NONFERROUS DIE; CASTINGS, EXCEPT ALUMINUM                   	Manufacturing                                     
3369      	NONFERROUS FOUNDRIES EXCEPT COPPER & ALUMINUM               	Manufacturing                                     
3398      	METAL HEAT TREATING                                         	Manufacturing                                     
3399      	PRIMARY METAL PRODUCTS, NEC                                 	Manufacturing                                     
3411      	METAL CAN MANUFACTURING                                     	Manufacturing                                     
3412      	METAL SHIPPING BARRELS, DRUMS, KEGS & PAILS                 	Manufacturing                                     
3429      	HARDWARE, NEC                                               	Manufacturing                                     
3429A     	MARINE HARDWARE                                             	Manufacturing                                     
3433      	HEATING EQUIPMENT MANUF EXCLUDE ELEC & WARM AIR             	Manufacturing                                     
3441      	FABRICATED STRUCTURAL METAL                                 	Manufacturing                                     
3441A     	METAL - FABRICATED STRUCT.                                  	Manufacturing                                     
3442      	METAL DOORS, SASH, FRAMES                                   	Manufacturing                                     
3443      	BOILER AND HEAT EXCHANGER MANUFACTURING                     	Manufacturing                                     
3444      	SHEET METAL WORK                                            	Manufacturing                                     
3444A     	SHEET METAL WORK                                            	Manufacturing                                     
3446      	ARCHITECTURAL AND ORNA- MENTAL METAL WORK                   	Manufacturing                                     
3448      	PREFABRICATED METALS BUILDINGS & COMPONENTS                 	Manufacturing                                     
3449      	MISC STRUCTURAL METAL WORK                                  	Manufacturing                                     
3449A     	METAL WORK NEC                                              	Manufacturing                                     
3451      	SCREW MACHINE PRODUCTS                                      	Manufacturing                                     
3452      	BOLT, NUT, SCREW, RIVET AND WASHER MANUFACTURING            	Manufacturing                                     
3462      	IRON & STEEL FORGING                                        	Manufacturing                                     
3463      	NONFERROUS FORGINGS                                         	Manufacturing                                     
3469      	METAL STAMPINGS, NEC                                        	Manufacturing                                     
3471      	ELECTROPLATING, PLATING, POLISHING, ANODIZING               	Manufacturing                                     
3471A     	PLATING & POLISHING                                         	Manufacturing                                     
3479      	COATING, ENGRAVING, AND ALLIED SER, NEC                     	Manufacturing                                     
3479A     	METAL COAT & ALLIED SVC                                     	Manufacturing                                     
3491      	INDUSTRIAL VALVE MANUFACTURING                              	Manufacturing                                     
3492      	FLUID POWER VALVES AND HOSE FITTINGS                        	Manufacturing                                     
3493      	STEEL SPRINGS, EXCEPT WIRE                                  	Manufacturing                                     
3493A     	STEEL SPRINGS, EXCEPT WIRE                                  	Manufacturing                                     
3494      	VALVES & PIPE FITTINGS, NEC                                 	Manufacturing                                     
3494A     	VALVE MANUFACTURING, NEC                                    	Manufacturing                                     
3495      	WIRE SPRING MANUFACTURING                                   	Manufacturing                                     
3496      	MISC FABRICATED WIRE PRODUCTS                               	Manufacturing                                     
3497      	METAL FOIL AND LEAF                                         	Manufacturing                                     
3498      	PIPE & PIPE FITTINGS FABRICATION                            	Manufacturing                                     
3498A     	PIPE MANUFACTURING, NEC                                     	Manufacturing                                     
3499      	METAL PRODUCTS FABRICATING, NEC                             	Manufacturing                                     
3499A     	METAL FABRICATION, NEC                                      	Manufacturing                                     
3499B     	BANKING MACHINERY & EQUIP                                   	Manufacturing                                     
3511      	STEAM, GAS & HYDRAULIC TURBINES & TURBINE GEN SET           	Manufacturing                                     
3519      	DIESEL ENGINES FOR STATIONARY SERVICE                       	Manufacturing                                     
3524      	LAWN & GARDEN EQPT                                          	Manufacturing                                     
3531      	CONSTRUCTION MACH & EQPT                                    	Manufacturing                                     
3531B     	MACHINERY CONSTRUCTION                                      	Manufacturing                                     
3532      	MINING MACHINERY & EQUIP. EXCEPT OIL & GAS FIELD EQUIP      	Manufacturing                                     
3533      	OIL & GAS FIELD MACH & EQPT                                 	Manufacturing                                     
3533A     	OIL & GAS FIELD MACHINERY & EQUIP                           	Manufacturing                                     
3535      	CONVEYORS AND CONVEYING EQUIPMENT MANUFACTURING             	Manufacturing                                     
3536      	OVERHEAD TRAVELING CRANES,HOISTS & MONORAIL SYSTEMS         	Manufacturing                                     
3537      	INDUSTRIAL TRUCKS, TRACTORS TRAILERS AND STACKER MFG        	Manufacturing                                     
3541      	MACHINE TOOLS, METAL CUTTING TYPE - MANUF                   	Manufacturing                                     
3542      	METAL TOOL-METAL FORMING TYPE - MANUF                       	Manufacturing                                     
3544      	SPECIAL DIES & TOOLS, DIE SETS, JIGS, FIXTURES & MOLDS      	Manufacturing                                     
3545      	CUTTING TOOLS, MACHINE TOOLS ACC. & PRECISION MEASURING     	Manufacturing                                     
3549      	METALWORKING MACHINERY,NEC                                  	Manufacturing                                     
3549A     	MACHINERY METALWORKING NEC                                  	Manufacturing                                     
3553      	WOODWORKING MACHINERY MANUFACTURING                         	Manufacturing                                     
3556      	FOOD PRODUCT MACHINERY MANUFACTURING                        	Manufacturing                                     
3559      	SPECIAL INDUSTRIAL MACHINERY, NEC                           	Manufacturing                                     
3559A     	MACHINERY SPECIAL INDUSTRY                                  	Manufacturing                                     
3559B     	PRINTING EQUIPMENT                                          	Manufacturing                                     
3561      	PUMP & PUMPING EQPT MANUFACTURING                           	Manufacturing                                     
3562      	BALL AND ROLLER BEARING MANUFACTURING                       	Manufacturing                                     
3563      	AIR & GAS COMPRESSOR MANUFACTURING                          	Manufacturing                                     
3564      	INDUST & COMM FANS, BLOWERS AND AIR PURIFICATION EQUIP      	Manufacturing                                     
3565      	PACKAGING MACHINERY MANUFACTURING                           	Manufacturing                                     
3569      	GENERAL INDUSTRIAL MACHINERY & EQUIP, NEC                   	Manufacturing                                     
3571      	ELECTRONIC COMPUTER MANUFACTURING                           	Manufacturing                                     
3572      	COMPUTER STORAGE DEVICE MANUFACTURING                       	Manufacturing                                     
3575      	COMPUTER EQUIPMENT MANUFACTURING- GENERAL                   	Manufacturing                                     
3575A     	COMPUTER EQUIPMENT MANUFACTURING                            	Manufacturing                                     
3577      	COMPUTER EQUIP, NEC, I.E., PRINTERS, PLOTTERS, DISPLAYS     	Manufacturing                                     
3585      	A/C & HEATING EQUIPMENT                                     	Manufacturing                                     
3585A     	HVAC, COMMERCIAL & INDUST REFRIGERATION EQUIP MANUF         	Manufacturing                                     
3589      	INDUSTRIAL WATER TREATMENT EQUIPMENT                        	Manufacturing                                     
3589A     	SERVICE INDUSTRY MACHINES                                   	Manufacturing                                     
3592      	CARBURETORS, PISTONS, PISTON RINGS & VALVES MANUF           	Manufacturing                                     
3593      	FLUID POWER CYLINDERS & ACTUATOR MANUF                      	Manufacturing                                     
3594      	FLUID POWER PUMP & MOTOR MANUFACTURING                      	Manufacturing                                     
3599      	INDUSTRIAL MACHINERY AND EQUIPMENT, NEC                     	Manufacturing                                     
3599A     	INDUSTRIAL MACHINERY NEC                                    	Manufacturing                                     
3599B     	MACHINE SHOP - JOB SHOP                                     	Manufacturing                                     
